Art,Name,Status,Website,robots,Crawl-Delay,Sitemap,Veranstaltungsseiten,Beispiel-URL,JSON-LD,Hinweis,lat,lng
Gemeinschaftshaus,Schëfflénger Jugendhaus,GESPERRT,http://tribe.lu/jugendhaus,verbietet,,,,,,robots.txt untersagt das Crawlen,49.506087,6.011534
Gemeinschaftshaus,Scout Center Badboeschelchen,KANDIDAT,https://www.muma.lu,erlaubt,,,1,https://www.muma.lu/agenda,nein,"keine Sitemap, Pfad geraten",49.497914,6.291497
Gemeinschaftshaus,"Site Albert Hames, Spektrum",KANDIDAT,https://spektrum.lu/,erlaubt,,https://spektrum.lu/sitemap_index.xml,53,https://spektrum.lu/agenda/,nein,,49.461469,6.024850
Gemeinschaftshaus,Verainshaus,KANDIDAT,https://www.acfischbach.lu/fr/vie-associative/ver%C3%A4inshaus,erlaubt,,https://acfischbach.lu/sitemap_index.xml,4,https://acfischbach.lu/agenda/,nein,,49.754026,6.166672
Gemeinschaftshaus,Veräinshaus,GESPERRT,http://differdange.cathol.lu,verbietet,,,,,,robots.txt untersagt das Crawlen,49.514666,5.894686
Gemeinschaftshaus,"Veräinshaus ""Um Widdem""",GESPERRT,https://ccuw.jimdo.com,verbietet,,,,,,robots.txt untersagt das Crawlen,49.487477,6.036875
Gemeinschaftshaus,Vieille Église Saint-Laurent,NICHTS GEFUNDEN,https://diekirch.lu/fr/commune-de-diekirch/art-culture/musees/la-vieille-eglise-saint-laurent,erlaubt,,,0,,,,49.869092,6.161536
Kino,Ciné Starlight,KANDIDAT,https://cinestarlight.lu/,erlaubt,,https://cinestarlight.lu/sitemap.xml,1,https://cinestarlight.lu/fr/events,nein,,49.474558,6.082832
Kino,Ciné Sura,KANDIDAT,https://cinesura.com/de,erlaubt,,https://cinesura.com/sitemap.xml,4,https://cinesura.com/de/events,nein,,49.812327,6.421732
Kino,Kinepolis Kirchberg,NICHTS GEFUNDEN,https://kinepolis.lu/en/cinemas/kinepolis-kirchberg,erlaubt,,,0,,,,49.633592,6.172661
Kino,Kinoler,KANDIDAT,https://kinoler.lu,erlaubt,,https://kinoler.lu/sitemap.xml,9,https://kinoler.lu/fr/events,nein,,49.631739,5.917245
Kino,Le Paris,KANDIDAT,https://leparis.lu/,erlaubt,,https://leparis.lu/sitemap.xml,9,https://leparis.lu/fr/events,nein,,49.518690,6.101057
Kino,Prabbeli,NICHTS GEFUNDEN,https://www.prabbeli.lu,erlaubt,,,0,,,,49.961403,5.934567
Galerie,1:1,NICHTS GEFUNDEN,https://gallery1to1.com/,erlaubt,,https://gallery1to1.com/sitemap.xml,0,,,,49.600452,6.128882
Galerie,ClausenArt,KANDIDAT,https://clausenart.lu/,erlaubt,,https://clausenart.lu/sitemap.xml,1,https://clausenart.lu/fotoe-vum-event-vum-30-januar,nein,,49.614800,6.146061
Galerie,Galerie Celsius,NICHTS GEFUNDEN,https://www.rolfschmitt.lu/fr-FR,erlaubt,,,0,,,,49.688611,6.255572
Galerie,Galerie K,NICHTS GEFUNDEN,https://www.galerie-k.lu/,erlaubt,5.0,https://www.galerie-k.lu/sitemap.xml,0,,,,49.612552,6.130556
Galerie,In Joy fine art,KANDIDAT,https://www.injoygallery.com/en,erlaubt,,,1,https://www.injoygallery.com/agenda,nein,"keine Sitemap, Pfad geraten",49.613152,6.128527
Galerie,Veiner Konstgalerie,NICHTS GEFUNDEN,https://viart.lu,erlaubt,,,0,,,,49.933108,6.205805
